SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"PERSISTENT","5,520.00","5,577.00","5,500.00","5,442.50","5,557.00","-","114.5","2.1","49234","27.32","6,599.00","4,244.50","4.99","4.01"
"COFORGE","1,790.00","1,811.70","1,785.40","1,773.00","1,803.00","-","30","1.69","173150","31.20","1,989.70","1,008.10","17.54","7.1"
"GMRAIRPORT","102.00","103.45","101.90","101.39","103.01","-","1.62","1.6","707007","7.27","115.64","84.11","-8.28","12.41"
"HCLTECH","1,309.00","1,321.00","1,309.00","1,298.00","1,317.00","-","19","1.46","124190","16.34","1,780.10","1,030.00","7.82","-12.59"
"OFSS","11,703.00","11,845.00","11,686.00","11,623.00","11,780.00","-","157","1.35","12345","14.54","11,979.00","6,234.50","-1.26","35.9"
"MANKIND","2,380.00","2,416.70","2,380.00","2,380.00","2,412.20","-","32.2","1.35","7932","1.91","2,674.00","1,909.70","-4.19","-3.74"
"LTM","4,599.60","4,654.90","4,599.40","4,562.20","4,617.50","-","55.3","1.21","24599","11.38","6,429.50","3,528.00","11.94","0"
"INFY","1,125.60","1,134.70","1,125.60","1,115.00","1,127.50","-","12.5","1.12","568982","64.32","1,728.00","982.40","1.69","-22.34"
"ETERNAL","316.15","319.20","315.85","315.90","318.95","-","3.05","0.97","1689129","53.74","368.45","212.60","10.22","0.32"
"MPHASIS","2,449.50","2,472.50","2,444.10","2,432.00","2,454.80","-","22.8","0.94","25685","6.32","3,037.20","2,013.00","1.58","-9.86"
"MARICO","842.00","849.35","840.35","841.55","849.35","-","7.8","0.93","58771","4.97","889.10","690.30","-0.29","16.82"
"KPITTECH","602.85","608.10","600.00","596.65","602.10","-","5.45","0.91","105906","6.39","1,328.00","543.00","7.69","-50.63"
"SUNPHARMA","1,871.00","1,890.50","1,871.00","1,875.10","1,889.60","-","14.5","0.77","39313","7.40","2,046.90","1,548.00","-2.98","14.85"
"NYKAA","320.60","324.00","320.30","320.60","323.00","-","2.4","0.75","235598","7.60","348.00","215.59","-0.76","46.28"
"PETRONET","286.25","289.30","285.65","286.25","288.40","-","2.15","0.75","213116","6.14","326.40","235.35","4.55","4.57"
"OIL","485.80","485.80","482.00","480.50","483.95","-","3.45","0.72","115423","5.59","531.00","384.60","10.37","19.69"
"PATANJALI","351.65","354.25","350.55","351.65","354.10","-","2.45","0.7","82355","2.90","615.00","328.20","4.13","-80.22"
"NAM-INDIA","1,178.90","1,182.80","1,175.00","1,170.60","1,178.20","-","7.6","0.65","18746","2.21","1,233.50","780.25","-1.34","41.27"
"JUBLFOOD","500.90","503.75","500.65","500.55","503.70","-","3.15","0.63","31097","1.56","667.75","408.55","19.99","-21.2"
"NAUKRI","1,355.00","1,367.60","1,355.00","1,354.90","1,363.50","-","8.6","0.63","27218","3.71","1,437.80","908.30","14.12","0.1"
"DALBHARAT","1,837.10","1,849.70","1,825.00","1,837.10","1,848.50","-","11.4","0.62","13654","2.51","2,496.30","1,605.00","0.76","-21.18"
"IRFC","86.11","86.60","85.63","86.11","86.60","-","0.49","0.57","710275","6.11","137.17","85.63","-2.6","-30.99"
"GODFRYPHLP","2,106.00","2,115.00","2,102.40","2,102.30","2,114.30","-","12","0.57","4114","0.87","3,947.00","1,832.10","-0.36","-78.22"
"BAJAJHLDNG","11,264.00","11,326.00","11,234.00","11,254.00","11,316.00","-","62","0.55","1039","1.17","14,763.00","8,588.00","8.23","-22.51"
"IDFCFIRSTB","85.24","85.47","85.15","84.76","85.19","-","0.43","0.51","387931","3.31","88.76","58.08","5.49","21.26"
"COLPAL","1,905.00","1,913.60","1,897.60","1,903.00","1,912.40","-","9.4","0.49","15838","3.02","2,504.00","1,782.00","-6.83","-14.47"
"NESTLEIND","1,462.40","1,469.50","1,459.00","1,462.50","1,469.50","-","7","0.48","32807","4.81","1,553.00","1,120.50","2.47","27.83"
"BOSCHLTD","48,730.00","49,130.00","48,700.00","48,730.00","48,960.00","-","230","0.47","5268","25.79","49,130.00","28,610.00","19.28","23.88"
"DMART","3,988.80","4,002.00","3,982.90","3,981.00","3,999.50","-","18.5","0.46","3224","1.29","4,949.50","3,529.00","0.74","-12.66"
"COCHINSHIP","1,499.00","1,506.50","1,488.50","1,485.10","1,491.80","-","6.7","0.45","58429","8.75","1,979.90","1,187.00","5.91","-13.74"
"WIPRO","179.06","179.95","178.54","178.06","178.84","-","0.78","0.44","720150","12.91","273.10","169.00","1.17","-27.38"
"PAYTM","1,551.10","1,560.00","1,546.30","1,546.30","1,552.80","-","6.5","0.42","110108","17.09","1,657.60","930.60","14.71","31.73"
"TECHM","1,601.50","1,610.70","1,596.20","1,592.00","1,598.50","-","6.5","0.41","77123","12.36","1,854.00","1,304.10","1.21","8.21"
"POLICYBZR","1,755.00","1,755.00","1,741.60","1,747.00","1,754.10","-","7.1","0.41","29793","5.21","1,974.00","1,364.00","10.99","-6.41"
"UNITDSPR","1,534.20","1,534.20","1,522.70","1,520.90","1,526.90","-","6","0.39","7136","1.09","1,550.00","1,210.80","10.55","16.32"
"BANKINDIA","142.10","142.91","142.05","142.10","142.61","-","0.51","0.36","211637","3.01","178.36","109.85","-0.75","23.72"
"BSE","3,317.00","3,325.00","3,305.60","3,308.00","3,318.60","-","10.6","0.32","200677","66.52","4,446.80","2,021.50","-7.64","32.6"
"BRITANNIA","5,495.00","5,512.00","5,480.00","5,495.00","5,512.00","-","17","0.31","2554","1.40","6,336.00","5,035.00","1.52","1.03"
"KAYNES","3,645.40","3,664.90","3,643.00","3,644.10","3,655.00","-","10.9","0.3","28001","10.23","7,705.00","2,995.00","7.63","-41.96"
"OBEROIRLTY","1,860.00","1,868.20","1,830.40","1,858.00","1,863.50","-","5.5","0.3","94589","17.50","1,986.10","1,391.20","-1.94","12.85"
"UNIONBANK","185.00","186.48","184.90","185.50","186.05","-","0.55","0.3","200082","3.72","205.49","124.64","10.12","36.61"
"TVSMOTOR","4,380.30","4,387.90","4,367.00","4,356.80","4,369.00","-","12.2","0.28","24202","10.59","4,475.00","3,132.40","20.41","35.32"
"ONGC","241.10","241.95","240.00","239.50","240.10","-","0.6","0.25","860800","20.76","307.50","227.65","-3.15","0.56"
"GODREJCP","938.10","938.10","930.10","931.00","933.20","-","2.2","0.24","28434","2.65","1,309.00","906.30","-13.14","-22.99"
"MAZDOCK","2,587.00","2,604.50","2,582.60","2,587.00","2,593.00","-","6","0.23","44109","11.43","3,061.40","2,057.40","10.42","-5.56"
"TORNTPHARM","4,979.50","4,987.00","4,956.00","4,971.00","4,982.00","-","11","0.22","10366","5.16","5,250.00","3,480.60","4.37","36.13"
"HAVELLS","1,293.00","1,306.60","1,290.00","1,299.70","1,302.60","-","2.9","0.22","31699","4.12","1,621.10","1,123.60","9.47","-16.29"
"NTPC","336.30","338.10","335.75","337.10","337.85","-","0.75","0.22","204370","6.88","414.40","315.55","-1.39","0.31"
"LICI","411.00","411.50","410.00","410.00","410.85","-","0.85","0.21","152670","6.27","468.48","360.75","-5.33","-53.94"
