Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GANESHIN,ST,110,-0.5,469.94,0.03,0.03
HALDYNGL,BE,122,-1.42,655.77,0.03,0.03
EIHAHOTELS,EQ,297.65,-0.53,1813.77,0.01,0.03
MLKFOOD,EQ,79.49,-0.67,203.46,0.04,0.03
DANISH,SM,761.65,-0.2,1499.81,0,0.03
TEXMOPIPES,EQ,45.99,-0.09,134.27,0.07,0.03
SCHAND,EQ,138.21,0.25,487.5,0.02,0.03
UMAEXPORTS,BE,22.65,4.91,76.58,0.15,0.03
TAURIAN,SM,421,-1.86,373.98,0.01,0.03
96IIFL28A,NF,999.81,-0.32,327.96,0,0.03
EXCELLENT,ST,210,-2.33,93.87,0.02,0.03
BEEKAY,EQ,437,0.38,833.45,0.01,0.03
PAVNAIND,EQ,18.3,2.01,255.34,0.18,0.03
SANGANI,SM,55.45,0,76.39,0.06,0.03
STCINDIA,EQ,116.31,-0.33,697.86,0.03,0.03
CUDML,ST,110,-1.79,194.1,0.03,0.03
SUMIT,EQ,51.4,0.67,245.99,0.06,0.03
WTICAB,SM,108.95,0.32,259.43,0.03,0.03
890AEL31,NN,1050,-0.47,214.36,0,0.03
RAJSREESUG,EQ,33.27,1.84,110.24,0.1,0.03
CHEMFAB,EQ,380,1.12,546.2,0.01,0.03
TRITONV,EQ,1168,1.13,598.26,0,0.03
VIVIMEDLAB,BE,5.07,3.26,42.04,0.64,0.03
LORDSCHLO,EQ,137.46,-0.77,393.88,0.02,0.03
GSEC5IETF,EQ,66.7,0.51,20.87,0.05,0.03
HAWKINCOOK,EQ,8295.5,-0.66,4386.51,0,0.03
NAGAFERT,BZ,2.26,-4.64,135.16,1.42,0.03
THAKDEV,EQ,156.55,6.87,140.9,0.02,0.03
TREL,EQ,25.85,-0.31,635.12,0.12,0.03
ABMINTLLTD,EQ,56.2,-9.99,52.87,0.06,0.03
RIIT,IV,119.04,0.13,7142.4,0.03,0.03
KRISHIVAL,EQ,407.25,0.16,907.97,0.01,0.03
READYMIX,SM,106.95,2.39,117.2,0.03,0.03
GVKPIL,BE,2.35,-0.42,370.98,1.32,0.03
NILAINFRA,EQ,7.12,-0.28,280.45,0.43,0.03
PRABHA,EQ,157,0.69,2149.42,0.02,0.03
PHANTOMFX,SM,145,1.83,230.88,0.02,0.03
HAZOOR,EQ,21.02,0.82,604.59,0.14,0.03
AVIENCE,SM,250,1.09,137.13,0.01,0.03
TRANSPEK,BE,1173,4.19,655.19,0,0.03
ATL,EQ,24,1.27,604.94,0.12,0.03
ENVIRO,SM,73.5,-1.28,138.11,0.04,0.03
CTE,EQ,40.77,5,80.04,0.07,0.03
MAHEPC,EQ,108.07,0.47,302.06,0.03,0.03
MANAKSTEEL,EQ,85.04,-1.25,557.3,0.03,0.03
NATCAPSUQ,EQ,150.29,0.38,156.47,0.02,0.03
VIPCLOTHNG,EQ,20.5,1.79,184.77,0.14,0.03
VINYLINDIA,EQ,241.42,1.16,442.69,0.01,0.03
CLSL,ST,73.2,-4.94,125.46,0.04,0.03
ATMASTCO,SM,146.35,-3.08,361.99,0.02,0.03
SIMCA,SM,243.3,-0.51,291.27,0.01,0.03
JAYSREETEA,EQ,90.97,-1.16,262.7,0.03,0.03
BIL,EQ,841.7,0.51,1128.75,0,0.03
COMFINTE,EQ,6.57,-0.9,210.2,0.44,0.03
POSITRON,SM,161,-4.45,122.37,0.02,0.03
BRANDMAN,SM,180,-0.88,332.23,0.02,0.03
WOL3D,ST,144.1,-0.28,92.97,0.02,0.03
KOTYARK,BE,38.27,-4.99,432.72,0.08,0.03
RFBL,ST,95.95,-5,223.71,0.03,0.03
VALUEAXIS,EQ,32.96,0,32.92,0.09,0.03
RAMANEWS,EQ,33.24,5.12,490.36,0.09,0.03
ABMKNO,EQ,200,0.12,400.04,0.01,0.03
DIAMINESQ,EQ,241.04,-0.42,242.33,0.01,0.03
GOLDTECH,BE,47.52,-2.22,248.35,0.06,0.03
TARACHAND,EQ,47.69,-0.42,375.92,0.06,0.03
HDFCNIFIT,EQ,33.18,-0.78,136.86,0.08,0.03
OSWALGREEN,EQ,20.8,-0.91,534.16,0.13,0.03
SELECTIPO,EQ,48.58,0.06,22.75,0.06,0.03
LIQUIDSBI,EQ,1000,0,49.57,0,0.03
LANCORHOL,EQ,28.87,-0.03,212.34,0.1,0.03
ANUHPHR,EQ,76.2,-0.01,763.71,0.04,0.03
HDFCBSE500,EQ,37.94,-0.34,100.86,0.07,0.03
DECCANCE,EQ,550.6,0.96,771.25,0,0.03
ROLLT,BE,3.1,2.65,77.54,0.88,0.03
CCCL,EQ,15.7,-1.88,701.41,0.17,0.03
HLVLTD,EQ,6.98,0,460.16,0.39,0.03
SWARNSAR,EQ,36.9,10.55,77.04,0.07,0.03
HMT,BZ,60.3,2.66,4584.91,0.05,0.03
JMA,EQ,89.7,2.12,204.88,0.03,0.03
ASHIMASYN,EQ,17.35,1.28,332.53,0.15,0.03
CANARYS,SM,22.3,0.22,131,0.12,0.03
ALBERTDAVD,EQ,809,-0.43,461.71,0,0.03
BMWVENTLTD,EQ,57.57,0.49,499.22,0.05,0.03
LEMERITE,EQ,23.34,0.73,292.14,0.11,0.03
AKSHAR,EQ,0.41,0,32.29,6.65,0.03
NDLVENTURE,EQ,124.9,-2.01,420.56,0.02,0.03
ECORECO,EQ,480,-2.3,926.24,0.01,0.03
IWARE,ST,433,0,498.24,0.01,0.03
SGRL,EQ,497.95,1.54,639.11,0.01,0.03
IRIS,EQ,237.07,-0.8,487.61,0.01,0.03
ALPL30IETF,EQ,28.3,-0.18,1589.93,0.09,0.03
GENUSPAPER,EQ,11.09,0,285.15,0.23,0.03
SGBJU29III,GB,15100,0.7,2233.64,0,0.03
DCMNVL,EQ,179.98,0.4,336.16,0.01,0.03
TRANSWORLD,BE,157,0.8,344.73,0.02,0.03
NCLIND,EQ,171.68,-0.52,776.56,0.01,0.03
LANDSMILL,EQ,0.76,0,107.21,3.38,0.03
AVROIND,EQ,8.44,-2.2,113.24,0.3,0.03
IVC,EQ,8.31,0.48,260.96,0.3,0.03
ORICONENT,EQ,52.95,-0.32,831.57,0.05,0.03
NV20BEES,EQ,140.26,-0.69,143.84,0.02,0.03
SHIVASHRIT,SM,124.75,-0.2,227.91,0.02,0.03
NIPPOBATRY,EQ,333.5,1.01,250.13,0.01,0.03
BHARATGEAR,BE,101.87,-1.37,156.42,0.02,0.02
UNITEDPOLY,BE,32.8,-1.53,752.81,0.08,0.02
HEALTHX,EQ,292.2,0.71,929.5,0.01,0.02
DHUNINV,EQ,1027.3,-3.4,626.36,0,0.02
OSIAHYPER,BE,2.44,-0.81,43.18,1,0.02
ESSENTIA,EQ,1.32,-4.35,231.7,1.82,0.02
URBAN,SM,146.4,-0.41,126.78,0.02,0.02
ALANKIT,EQ,8.21,-0.97,222.62,0.28,0.02
DRONE,SM,39.9,3.77,97.36,0.06,0.02
SHRIAHIMSA,ST,393.5,0,922.01,0.01,0.02
KALYANIFRG,EQ,643,-0.08,233.92,0,0.02
WEALTH,EQ,890.05,-1.34,948.35,0,0.02
EMMBI,BE,85.25,-0.55,164.02,0.03,0.02
JFLLIFE,SM,12.55,-4.92,41.41,0.18,0.02
NV20,EQ,14.04,-0.21,79.06,0.17,0.02
ITL,EQ,335,1.58,107.34,0.01,0.02
RPPL,BE,23.8,2.01,176.7,0.1,0.02
BIGBLOC,EQ,45.05,0.22,637.8,0.05,0.02
SSFL,ST,231.6,0,198.49,0.01,0.02
SUPREME,EQ,41.56,-0.12,160.62,0.06,0.02
SGBN28VIII,GB,15179,0.83,2388.35,0,0.02
VISHAL,EQ,18.45,1.54,456.84,0.12,0.02
CHEMCON,BE,188.5,-1.38,690.49,0.01,0.02
SGBJUN28,GB,15200,2.01,3630.26,0,0.02
JISLDVREQS,EQ,20.91,-0.52,40.34,0.1,0.02
UTKAL,SM,55.75,4.6,108.9,0.04,0.02
SBILIQETF,EQ,1052.13,0.01,62.18,0,0.02
MID150,EQ,23.83,0.13,13.53,0.09,0.02
PSUBANKADD,EQ,87.45,-0.87,1197.82,0.03,0.02
WINSOL,SM,110.8,0,127.81,0.02,0.02
ARIHANTSUP,EQ,253.6,2.44,1096.82,0.01,0.02
KOKUYOCMLN,EQ,82.26,0.88,825.1,0.03,0.02
MOQUALITY,EQ,204.55,-0.39,41.66,0.01,0.02
SHIVACEM,EQ,17,0.71,501.5,0.12,0.02
MOHEALTH,EQ,51.8,0.08,44.37,0.04,0.02
ANMOL,EQ,10.08,-0.79,57.37,0.22,0.02
MANAKALUCO,EQ,38.81,-1.32,254.34,0.06,0.02
CHETANA,SM,45,-5.26,91.8,0.05,0.02
AKSHOPTFBR,BE,6.98,4.96,113.56,0.31,0.02
BSLSENETFG,EQ,78.4,0.33,273.13,0.03,0.02
ROYALARC,SM,177,-1.67,196.47,0.01,0.02
RVHL,EQ,44.5,2.37,272.9,0.05,0.02
KHAITANLTD,EQ,147.9,6.27,70.25,0.01,0.02
PARSVNATH,BE,1.47,-2,63.97,1.43,0.02
GTL,EQ,7.7,0.52,121.12,0.27,0.02
FCONSUMER,BZ,0.24,-4,47.93,8.75,0.02
NIFTYBETF,EQ,250.51,-0.42,195.66,0.01,0.02
NDL,EQ,2.31,-0.43,332.98,0.91,0.02
MADHAVIPL,EQ,7.17,1.41,193.29,0.29,0.02
AXITA,EQ,7.35,1.1,281.31,0.28,0.02
ISFT,EQ,81.01,-1.6,132.14,0.02,0.02
SONAMAC,SM,33.75,-4.93,46.32,0.06,0.02
GROWWNXT50,EQ,75.05,0.54,9.13,0.03,0.02
BLACKROSE,BE,103.5,-1.25,527.85,0.02,0.02
BANK10ADD,EQ,16.9,-0.29,309.95,0.12,0.02
GROWWRLTY,EQ,10.02,-0.2,16.24,0.2,0.02
VISHWARAJ,EQ,5.33,0.76,116.1,0.38,0.02
MEIL,EQ,273.3,0.29,755.13,0.01,0.02
INSUREIETF,EQ,15.47,0,45.03,0.13,0.02
GOACARBON,EQ,363.6,0.29,332.73,0.01,0.02
HCL-INSYS,EQ,11.31,-0.18,372.34,0.17,0.02
PAR,EQ,100,-2.2,123.05,0.02,0.02
RHFL,BZ,1.78,0,86.25,1.09,0.02
MGEL,BE,14.48,0.35,477.2,0.13,0.02
TOLINS,EQ,96.34,-0.37,380.63,0.02,0.02
VALUE360,SM,79.6,-1.06,128.08,0.02,0.02
SATKARTAR,SM,122,0.83,192.7,0.02,0.02
RBMINFRA,SM,241.1,-1.71,256.36,0.01,0.02
KRITI,EQ,69,1.81,363.6,0.03,0.02
DCG,SM,53,-3.55,96.19,0.04,0.02
DKEGL,SM,63.55,0,47.71,0.03,0.02
HDFCGROWTH,EQ,122.5,-0.15,21.12,0.02,0.02
ARHAM,SM,189.9,0.21,414.21,0.01,0.02
RNPL,SM,78.85,-5,95.29,0.02,0.02
DHARAN,BZ,0.16,0,83.66,11.79,0.02
SUDARCOLOR,EQ,410,-0.82,946.35,0,0.02
MANAKSIA,EQ,59.89,1.51,392.48,0.03,0.02
DPSCLTD,BE,7.33,0.14,713.79,0.26,0.02
ABSLNN50ET,EQ,78.54,0.08,54.97,0.02,0.02
KHADIM,BE,98.79,0.2,181.56,0.02,0.02
TBI,SM,61,1.67,110.77,0.03,0.02
DISHTV,EQ,2.82,0,519.23,0.64,0.02
NAHARPOLY,EQ,243.55,0.1,598.84,0.01,0.02
MOMENTUM30,EQ,31.14,-0.1,33.52,0.06,0.02
842IIFL26,NL,990.01,-0.9,145.78,0,0.02
KAMANWALA,EQ,18,9.09,25.37,0.1,0.02
RAJRILTD,BE,22.13,1.98,1230.61,0.08,0.02
PASHUPATI,EQ,85.32,0.79,1346.69,0.02,0.02
APCL,EQ,102.19,-1.31,300.18,0.02,0.02
753NTPC30E,NC,1132,0,54.67,0,0.02
ORIENTPPR,EQ,16.85,-0.18,357.53,0.11,0.02
AONETMMQ50,EQ,10.42,0,16.22,0.17,0.02
SAAKSHI,ST,295,-0.37,520.85,0.01,0.02
JYOTIRES,EQ,869,-0.11,1042.8,0,0.02
HEADSUP,EQ,6.73,-2.89,14.86,0.27,0.02
AVONMORE,EQ,12.49,1.13,352.45,0.14,0.02
ABCOTS,EQ,200.91,0.96,441.27,0.01,0.02
GJL,ST,217.95,-4.97,316.18,0.01,0.02
891NTPC33,N6,1276,0,510.36,0,0.02
SHRADHA,EQ,34.25,-0.58,277.42,0.05,0.02
TVTODAY,EQ,112.9,0.43,673.66,0.02,0.02
MAHAPEXLTD,EQ,52.03,3.21,146.64,0.03,0.02
RUBFILA,EQ,67.95,1.75,368.75,0.03,0.02
LAMOSAIC,ST,56.5,0,58.41,0.03,0.02
INDIANCARD,EQ,225,0.86,133.68,0.01,0.02
APOLSINHOT,EQ,1209,0.08,314.39,0,0.02
SGBAPR28I,GB,15299.99,1.9,2712.5,0,0.02
SGBJUN30,GB,15104.01,0.45,3863.4,0,0.02
SILINV,EQ,445,1.01,471.52,0,0.02
SHIVATEX,EQ,161,-1.03,208.7,0.01,0.02
PTL,EQ,38.41,-0.6,508.46,0.04,0.02
GOKUL,EQ,38.27,-1.54,378.85,0.04,0.02
PRESSTONIC,SM,29.6,-0.17,45.11,0.06,0.02
PRAMARA,SM,107,-0.7,149.2,0.01,0.02
GENSOL,BZ,16.8,1.08,63.84,0.1,0.02
GOYALALUM,EQ,6.34,-2.61,90.49,0.26,0.02
ALPA,EQ,65,1.14,136.76,0.02,0.02
BALPHARMA,EQ,87.1,0.06,138.67,0.02,0.02
MOIPO,EQ,48.67,-0.18,6.08,0.03,0.02
TAMBOLIIN,BE,248,1.64,246.02,0.01,0.02
ONELIFECAP,BE,34.4,1.99,128.52,0.05,0.02
RUCHIRA,EQ,103.3,-0.76,308.3,0.02,0.02
AAREYDRUGS,EQ,82.54,-1.59,234.04,0.02,0.02
OILCOUNTUB,BE,58.88,-0.37,306.11,0.03,0.02
NEUEON,BE,17.81,4.95,1007.06,0.09,0.02
VIKASECO,EQ,1.09,0,192.79,1.43,0.02
VAISHALI,EQ,8.56,0.59,111.68,0.18,0.02
QUICKTOUCH,SM,18.15,-4.97,23.26,0.09,0.02
LGHL,EQ,179.18,-1.55,897.56,0.01,0.02
MNC,EQ,34.71,-0.23,47.4,0.04,0.02
ADVANIHOTR,EQ,51.27,-1.57,473.93,0.03,0.02
CEMNTGROWW,EQ,14.97,-0.2,7.62,0.1,0.02
VIKASLIFE,EQ,1.24,-0.8,230.35,1.24,0.02
PODDARMENT,EQ,260,-1.59,275.86,0.01,0.02
SGBD29VIII,GB,15100,0.63,3745.54,0,0.02
NTCIND,EQ,149,2.76,216.33,0.01,0.01
MKPL,EQ,4.06,-1.69,152.4,0.37,0.01
EBBETF0433,EQ,1320.75,0.3,6361.49,0,0.01
SBIETFQLTY,EQ,228.02,-0.35,82.91,0.01,0.01
ONIXSOLAR,EQ,375.4,-5,1384.02,0,0.01
BMLL,SM,147.95,2.49,186.05,0.01,0.01
HTMEDIA,EQ,26.37,0,481.66,0.06,0.01
NAVKARURB,BE,0.98,-1.01,109.96,1.47,0.01
865IRFC29,NA,1097,-0.99,755.13,0,0.01
VINSYS,ST,580,0.17,855.49,0,0.01
MARALOVER,EQ,54.88,3.35,227.8,0.03,0.01
ESFL,SM,133.35,-0.49,331.23,0.01,0.01
VSCL,SM,23.9,0,35.85,0.06,0.01
BANKPSU,EQ,87.25,-0.84,48.57,0.02,0.01
CONS,EQ,12.53,-0.16,36.22,0.11,0.01
AJOONI,EQ,3.8,-1.55,65.45,0.37,0.01
SURANASOL,EQ,25.56,-0.16,125.77,0.06,0.01
PRANIK,SM,44,7.32,48.44,0.03,0.01
SENSEXBETA,EQ,863.55,0.08,57412.36,0,0.01
DELTAMAGNT,EQ,59.56,1.81,64.63,0.02,0.01
COMPEAU,EQ,380,7.65,243.56,0,0.01
CONSUMIETF,EQ,125.95,-0.04,52.87,0.01,0.01
YAAP,SM,139.3,-2.42,291.6,0.01,0.01
TECHERA,SM,174,2.72,287.46,0.01,0.01
INDBANK,EQ,32.41,-0.25,143.83,0.04,0.01
DUCON,EQ,3.22,4.21,104.63,0.43,0.01
BANARISUG,EQ,3465.5,0.45,4345.63,0,0.01
LINC,EQ,98.25,0.34,584.48,0.01,0.01
KRITIKA,EQ,5.52,-1.25,146.99,0.25,0.01
DIVINEHIRA,ST,113,2.73,442.3,0.01,0.01
ASIANHOTNR,EQ,297.8,-1.28,1269.62,0,0.01
KAUSHALYA,BE,865.05,-4.65,29.96,0,0.01
SMLT,EQ,70.38,-1.72,96.35,0.02,0.01
VERTOZ,BE,36,1.18,306.83,0.04,0.01
AMAL,EQ,750,0.66,927.2,0,0.01
BANKADD,EQ,58.8,-0.49,440.24,0.02,0.01
GOLDBND,EQ,152.89,1.1,10.87,0.01,0.01
TROM,SM,55.5,0.09,51.03,0.02,0.01
MANGALAM,EQ,27.86,-0.75,44.1,0.05,0.01
DIGJAMLMTD,EQ,49.14,-2.46,98.28,0.02,0.01
21STCENMGM,EQ,43.26,-1.79,45.42,0.03,0.01
HILINFRA,EQ,44.91,1.15,322.1,0.03,0.01
DOLLEX,SM,32.65,1.56,130.43,0.04,0.01
SHREYANIND,EQ,132.32,1.57,182.93,0.01,0.01
DYNPRO,EQ,229.4,-1.06,285.11,0.01,0.01
SRTL,EQ,39.4,-0.4,157.5,0.03,0.01
PRAENG,EQ,19.96,-1.19,139.59,0.07,0.01
STARPAPER,EQ,147.68,-0.2,230.5,0.01,0.01
WATERBASE,EQ,47.5,1.11,196.78,0.03,0.01
TCIFINANCE,BE,15.4,1.32,19.82,0.08,0.01
SUTLEJTEX,BE,37.6,-1.29,616,0.03,0.01
ENIL,EQ,101.69,0.67,484.76,0.01,0.01
MOMENTUM,EQ,31.44,-0.66,39.18,0.04,0.01
KAMOPAINTS,EQ,4.47,-1.54,147.06,0.28,0.01
GLOBECIVIL,EQ,44.52,0.25,265.87,0.03,0.01
CHAMUNDA,SM,41.5,1.22,45.67,0.03,0.01
ANDREWYU,EQ,26.75,2.49,1307.94,0.05,0.01
BANSWRAS,EQ,117.12,0.94,400.93,0.01,0.01
DEVIT,EQ,26.05,-0.15,146.83,0.05,0.01
UMA,SM,15.5,3.33,31.43,0.08,0.01
VTMLTD,EQ,48.9,4.53,491.78,0.03,0.01
NIFTYAXIS,EQ,269.5,-0.33,939.8,0,0.01
SAKUMA,EQ,1.61,-0.62,252.4,0.76,0.01
HDFCVALUE,EQ,126.47,-0.41,33.53,0.01,0.01
SAGCEM,EQ,173.01,-0.22,2261.37,0.01,0.01
SBIETFPB,EQ,278.98,-0.28,644.3,0,0.01
PRITIKAUTO,BE,17.6,1.73,293.06,0.07,0.01
EUROBOND,EQ,157.98,-0.29,387.05,0.01,0.01
NATHBIOGEN,EQ,155.36,0.19,295.25,0.01,0.01
MANBRO,EQ,57.28,6.61,332.28,0.02,0.01
K2INFRA,ST,49.5,-1.98,62.46,0.02,0.01
VIJAYPD,SM,60,2.48,117.17,0.02,0.01
BSL,EQ,122,-0.37,125.56,0.01,0.01
HITECHGEAR,BE,540.8,-1.67,1017.44,0,0.01
TOP15IETF,EQ,10.01,-0.6,13.22,0.12,0.01
VARDMNPOLY,EQ,6.38,1.27,308.17,0.19,0.01
AARTECH,BE,49.5,-1.45,157.26,0.02,0.01
FWSTC,SM,195,-1.39,198.45,0.01,0.01
CGRAPHICS,SM,146,-0.68,354.58,0.01,0.01
PRIMESECU,EQ,281.35,-0.21,955.47,0,0.01
FOODSIN,EQ,56.83,-0.66,417.88,0.02,0.01
KICL,EQ,5324.5,0.37,2324.31,0,0.01
DNAMEDIA,EQ,2.57,-1.91,30.25,0.47,0.01
EMAMIPAP,BE,110.74,1.45,669.97,0.01,0.01
BARFLEX,SM,57.75,1.49,142.93,0.02,0.01
DGCONTENT,EQ,25,1.75,145.47,0.05,0.01
GROWWN200,EQ,11.52,-0.26,16.61,0.1,0.01
RRIL,EQ,17.35,3.83,210.31,0.07,0.01
KARNIKA,SM,115,-3.32,712.97,0.01,0.01
GFSTEELS,BE,15,0,45.65,0.08,0.01
BONLON,EQ,42.25,-0.45,69.22,0.03,0.01
QNIFTY,EQ,268,-0.3,64.36,0,0.01
PATINTLOG,BE,13.91,0,89.28,0.08,0.01
ZSARACOM,EQ,12500,2.94,1369.91,0,0.01
RVTH,EQ,728,-0.26,223.27,0,0.01
PILITA,EQ,8.46,-0.24,198.81,0.13,0.01
SBIETFCON,EQ,125.37,-0.15,23.55,0.01,0.01
CINELINE,EQ,89.1,-0.77,305.31,0.01,0.01
MITCON,BE,79.2,-0.49,137.95,0.01,0.01
MAZDA,BE,230,-2.19,460.57,0,0.01
MIIL,EQ,700,2.73,1520.66,0,0.01
SUPERHOUSE,EQ,166.11,-2.01,183.14,0.01,0.01
JHS,EQ,8.94,-0.11,78.14,0.12,0.01
AIROLAM,EQ,89.5,2.53,134.27,0.01,0.01
NAGREEKEXP,EQ,24.6,1.15,76.87,0.04,0.01
DELAPLEX,SM,90,0,82.43,0.01,0.01
SIDDHIKA,SM,215.05,0,132.88,0.01,0.01
UFO,EQ,66.64,-0.74,258.73,0.02,0.01
LICNMID100,EQ,63.92,-0.84,676.84,0.02,0.01
SGBSEP29VI,GB,15300.01,1.09,5386.13,0,0.01
754GS2036,GS,107.05,-0.11,159504.5,0.01,0.01
MANUFGBEES,EQ,166.91,-1.39,11.73,0.01,0.01
ETML,SM,87.9,4.96,171.2,0.01,0.01
AVIANSH,SM,105,0.24,146.76,0.01,0.01
GRANDOAK,EQ,38.8,1.46,2013.27,0.03,0.01
JENBURPH,EQ,1042.6,-1.81,460.13,0,0.01
ZENITHSTL,EQ,5.46,-2.33,77.69,0.19,0.01
GTPL,EQ,53.19,0.57,598.19,0.02,0.01
1015ECL29,NR,1010.1,-0.98,112.22,0,0.01
AUSL,SM,25.2,-4.91,62.59,0.04,0.01
SCL0182025,NC,1032,-0.05,6.9,0,0.01
897MOFSL29,N4,1031,-0.39,98.09,0,0.01
SURANI,SM,100.95,1,156.96,0.01,0.01
NETF,EQ,264.75,-0.03,723.25,0,0.01
87LTF27,NH,1020,0.49,17.83,0,0.01
GLOBALVECT,EQ,151.77,0.82,212.48,0.01,0.01
ORCHASP,EQ,1.41,-3.42,48.85,0.72,0.01
875NHAI29,N6,1123,-0.07,1336.15,0,0.01
1225DCCL27,N0,100098.11,0,10.01,0,0.01
113ESFB31,N0,100000,0,50,0,0.01
AAKASH,EQ,8.8,0.11,89.1,0.11,0.01
NIFTY100EW,EQ,35.73,-0.33,34.82,0.03,0.01
865IIFL28,NS,985,-0.91,155.89,0,0.01
EIFFL,BE,273.3,-0.51,677.78,0,0.01
PRAKASHSTL,EQ,3.88,-1.52,67.9,0.25,0.01
BNKETFAXIS,EQ,591.99,-0.56,332,0,0.01
COUNCODOS,BE,6.56,1.71,50.9,0.15,0.01
HDFCQUAL,EQ,60,-0.12,20.77,0.02,0.01
LOTUSEYE,EQ,118.99,3.27,247.46,0.01,0.01
GVPTECH,EQ,7.03,-0.57,128.4,0.14,0.01
VICTORYEV,ST,16,-0.93,38.54,0.06,0.01
ORIENTLTD,BE,76.09,2.67,76.09,0.01,0.01
VDEAL,SM,158,0,77.27,0.01,0.01
NIFTYQLITY,EQ,21.92,0.09,26.1,0.04,0.01
SADBHIN,BE,2.87,0.35,101.09,0.33,0.01
CELLECOR,SM,31,-0.32,689.21,0.03,0.01
OMFREIGHT,BE,96.55,-0.57,325.14,0.01,0.01
TGBHOTELS,EQ,9.11,-4.41,26.68,0.1,0.01
VARDHACRLC,BE,44.5,-0.25,357.62,0.02,0.01
BEACON,SM,92.1,4.66,166.38,0.01,0.01
PVTBANKADD,EQ,27.76,-0.11,765.38,0.03,0.01
GATECHDVR,BE,0.51,4.08,9.67,1.83,0.01
TARAPUR,EQ,14.36,-0.83,28,0.06,0.01
SBIETFIT,EQ,344.8,-0.55,83.16,0,0.01
SGBJAN29X,GB,15137.88,1,1837.81,0,0.01
TAINWALCHM,EQ,206.01,0.11,192.9,0,0.01
SGBJAN30IX,GB,15061.03,0.04,3514.02,0,0.01
RILINFRA,SM,37.6,1.62,69.95,0.02,0.01
VHL,EQ,3441.4,0.07,1098.34,0,0.01
ALMONDZ,EQ,14.4,0.7,251.86,0.06,0.01
ANTGRAPHIC,EQ,0.72,-1.37,11.16,1.19,0.01
SBIVALETF,EQ,14.88,-0.27,5.93,0.06,0.01
91D121126,TB,98.55,0,16852.05,0.01,0.01
VELJAN,BE,1770.3,-2.96,796.63,0,0.01
SEMAC,EQ,309.7,-5,96.54,0,0.01
ZFSTEERING,EQ,669.05,0.95,607.05,0,0.01
PPSL,SM,2.85,-5,8.35,0.3,0.01
SYSTANGO,SM,214,-0.4,313.91,0,0.01
ARUNAYA,SM,13.9,-4.79,24.38,0.06,0.01
ODIGMA,EQ,22.4,-0.84,70.02,0.04,0.01
AFSL,EQ,202.99,-0.82,1032,0,0.01
MOINFRA,EQ,59.65,-0.48,3.02,0.01,0.01
ELGIRUBCO,EQ,58.48,0.26,292.69,0.01,0.01
INDOWIND,EQ,8.93,1.36,143.77,0.09,0.01
CROWN,EQ,109.47,1.42,126.88,0.01,0.01
RELIABLE,EQ,138.67,-0.85,143.11,0.01,0.01
HSBCGOLD,EQ,132.74,1,681.87,0.01,0.01
HDFCNIMEG,EQ,129.36,-0.39,121.44,0.01,0.01
KCEIL,SM,80,-1.42,97.79,0.01,0.01
SUNDARAM,EQ,1.06,1.92,50.23,0.76,0.01
TGL,ST,19.05,-4.99,22.86,0.04,0.01
KALANA,SM,20,4.99,26.08,0.04,0.01
KOTIC,EQ,144.58,-1.09,1561.78,0.01,0.01
TVSMNCRPS,P1,10.5,0,1995.37,0.07,0.01
BANG,EQ,28.48,-0.32,38.62,0.03,0.01
KLL,SM,23.7,7,43.92,0.03,0.01
CONSOFINVT,BE,272.05,0.76,879.44,0,0.01
CLEDUCATE,BE,57,-3.14,309.47,0.01,0.01
RACE,EQ,102.39,2.32,176.7,0.01,0.01
LOYALTEX,EQ,221,1.28,106.44,0,0.01
IVZINNIFTY,EQ,279.41,-0.11,93.51,0,0.01
SPCL,SM,63.45,0.08,153.01,0.01,0.01
SINCLAIR,EQ,75.99,1.89,389.52,0.01,0.01
DENORA,EQ,844.15,0.52,448.13,0,0.01
NAHARCAP,EQ,256.06,0,428.8,0,0.01
KEEPLEARN,EQ,1.96,7.1,30.52,0.39,0.01
GROBTEA,EQ,993,3.65,115.42,0,0.01
GML,SM,18.85,-4.8,28.6,0.04,0.01
MMWL,EQ,15.33,-3.4,1736.49,0.05,0.01
AAATECH,EQ,92,-0.2,118.01,0.01,0.01
SGBFEB29XI,GB,15011.1,0.17,1843.24,0,0.01
SWISSMLTRY,EQ,14.2,-0.84,335.32,0.05,0.01
RAJPALAYAM,EQ,825,-1.57,760.67,0,0.01
ONDOOR,SM,249.9,2.06,174.94,0,0.01
IVP,BE,175,0.09,180.71,0,0.01
92SFIL28,ND,1057.8,0,14.76,0,0.01
VASWANI,EQ,51.36,-1.55,169.21,0.01,0.01
ADVIKCA,EQ,1.19,-2.46,72.41,0.64,0.01
DIL,BZ,0.71,-4.05,11.55,1.04,0.01
UMIYA-MRO,EQ,88.21,-1.65,164.82,0.01,0.01
ENSER,SM,14.5,1.4,126.38,0.05,0.01
HINDCOMPOS,EQ,411,0.18,607.01,0,0.01
INTENTECH,EQ,79.88,-0.57,188.73,0.01,0.01
ROSSELLIND,EQ,56.44,1.55,212.76,0.01,0.01
GEECEE,BE,377.45,1.57,789.31,0,0.01
VINEETLAB,EQ,36.49,-2.15,70.08,0.02,0.01
SILVERBND,EQ,233.94,1.03,12.33,0,0.01
