SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"TIINDIA","2,755.80","2,848.00","2,755.80","2,741.40","2,846.00","-","104.6","3.82","244238","68.86","3,419.90","2,164.90","-5.1","-10.52"
"DIXON","14,100.00","14,420.00","14,067.00","14,025.00","14,326.00","-","301","2.15","104312","149.28","18,471.00","9,600.00","-2.12","-13.38"
"OIL","480.00","484.95","479.00","474.65","484.40","-","9.75","2.05","537466","25.93","531.00","384.60","9.03","18.44"
"SONACOMS","806.50","821.00","806.00","805.10","820.40","-","15.3","1.9","262006","21.38","836.90","402.30","14.22","78.18"
"COCHINSHIP","1,460.90","1,485.00","1,457.00","1,457.80","1,485.00","-","27.2","1.87","121791","17.88","1,979.90","1,187.00","3.97","-13.79"
"SOLARINDS","20,100.00","20,422.00","20,030.00","20,000.00","20,370.00","-","370","1.85","45453","92.11","20,422.00","11,646.00","8.3","32.45"
"ALKEM","5,374.00","5,465.00","5,374.00","5,374.00","5,459.50","-","85.5","1.59","18467","10.03","5,933.50","5,075.00","-3.4","0.5"
"KAYNES","3,664.80","3,714.20","3,660.00","3,651.00","3,704.90","-","53.9","1.48","96975","35.80","7,705.00","2,995.00","7.83","-40.31"
"AMBER","7,265.00","7,408.00","7,252.00","7,259.00","7,353.50","-","94.5","1.3","84727","62.31","8,974.00","5,400.50","-6.99","5.28"
"DIVISLAB","8,510.00","8,591.50","8,504.00","8,481.50","8,590.50","-","109","1.29","69604","59.58","8,674.00","5,636.50","17.03","38.3"
"MOTHERSON","168.10","170.56","168.10","168.06","170.17","-","2.11","1.26","2098194","35.63","172.00","91.10","16.57","80.52"
"ONGC","239.50","241.30","239.08","238.49","240.89","-","2.4","1.01","2316237","55.66","307.50","227.65","-3.56","0.65"
