SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"MOTILALOFS","903.65","927.00","897.10","903.70","924.30","-","20.6","2.28","571002","52.28","1,097.10","614.90","-6.56","-2.74"
"OIL","471.40","478.45","469.00","468.50","478.15","-","9.65","2.06","258917","12.27","531.00","384.60","7.61","16.91"
"SONACOMS","799.00","808.50","795.75","792.00","807.75","-","15.75","1.99","333377","26.80","836.90","402.30","12.36","75.28"
"ASHOKLEY","171.99","176.45","171.98","171.64","174.88","-","3.24","1.89","6029133","105.44","215.42","119.29","10.57","40.73"
"HAL","5,050.00","5,149.90","5,045.00","5,029.90","5,122.80","-","92.9","1.85","537774","275.09","5,149.90","3,479.10","11.76","10.42"
"KEI","5,700.00","5,806.90","5,680.00","5,700.00","5,798.00","-","98","1.72","30988","17.83","5,837.00","3,728.70","16.17","49.45"
"LAURUSLABS","1,770.00","1,824.00","1,769.40","1,787.30","1,816.40","-","29.1","1.63","394509","71.39","1,870.80","823.10","16.83","107.9"
"PATANJALI","357.00","357.75","347.00","352.00","357.50","-","5.5","1.56","2753301","97.29","615.00","328.20","4.23","-80.05"
"PAGEIND","36,730.00","37,520.00","36,505.00","36,750.00","37,315.00","-","565","1.54","7533","27.95","47,310.00","29,805.00","-7.89","-15.55"
"AUROPHARMA","1,630.60","1,652.00","1,626.30","1,622.10","1,643.50","-","21.4","1.32","245759","40.41","1,682.40","1,016.10","5.78","49.7"
"NATIONALUM","377.90","381.40","376.50","376.00","380.80","-","4.8","1.28","1287242","48.89","445.15","183.86","10.62","100.45"
"HDFCLIFE","536.25","542.80","534.90","535.85","542.70","-","6.85","1.28","530399","28.57","815.00","530.50","-4.93","-32.06"
"SUPREMEIND","3,590.00","3,620.00","3,565.00","3,558.90","3,602.60","-","43.7","1.23","67790","24.37","4,664.90","3,140.00","3.65","-17.19"
"PETRONET","282.60","286.40","281.65","282.60","285.85","-","3.25","1.15","237258","6.74","326.40","235.35","3.21","3.94"
"BHEL","424.00","427.45","421.80","421.70","426.55","-","4.85","1.15","1095490","46.49","446.50","205.12","-0.07","90.53"
"AMBER","7,355.50","7,394.00","7,246.50","7,222.00","7,302.00","-","80","1.11","206190","150.83","8,974.00","5,400.50","-7.46","4.74"
"BOSCHLTD","47,105.00","47,730.00","47,105.00","47,100.00","47,605.00","-","505","1.07","7491","35.64","47,730.00","28,610.00","15.29","22.07"
"BHARATFORG","2,057.80","2,089.50","2,055.60","2,065.00","2,086.00","-","21","1.02","108365","22.49","2,295.00","1,100.50","-5.73","74.93"
"VMM","105.43","106.32","104.61","105.20","106.23","-","1.03","0.98","794746","8.38","157.60","98.77","-4.65","-28.22"
"ABB","7,652.50","7,728.00","7,627.00","7,649.00","7,723.50","-","74.5","0.97","11462","8.80","7,924.50","4,637.50","1.91","52.07"
"HINDZINC","564.40","570.30","564.40","561.90","567.20","-","5.3","0.94","577032","32.74","733.00","418.00","8.4","31.7"
"MAXHEALTH","1,009.10","1,017.60","1,002.70","1,008.60","1,017.60","-","9","0.89","337208","34.10","1,275.00","903.00","-7.46","-17.38"
"ONGC","237.99","238.40","236.15","236.40","238.39","-","1.99","0.84","3401979","80.70","307.50","227.65","-4.4","-0.23"
"MUTHOOTFIN","2,840.00","2,877.10","2,829.10","2,842.00","2,866.00","-","24","0.84","131810","37.59","4,149.50","2,604.20","-4.93","3.07"
"POLYCAB","9,250.00","9,336.00","9,231.00","9,240.00","9,315.00","-","75","0.81","17795","16.51","10,126.00","6,663.00","4.27","32.57"
"GMRAIRPORT","101.79","102.72","100.84","101.51","102.33","-","0.82","0.81","1358951","13.82","115.64","84.11","-8.17","11.83"
"TVSMOTOR","4,307.00","4,377.90","4,305.50","4,307.00","4,341.70","-","34.7","0.81","76184","33.16","4,475.00","2,985.60","19.04","42.6"
"SOLARINDS","19,951.00","20,389.00","19,951.00","19,969.00","20,130.00","-","161","0.81","34203","69.11","20,400.00","11,646.00","8.13","32.25"
"HINDALCO","1,033.00","1,042.00","1,032.70","1,029.50","1,037.35","-","7.85","0.76","394477","40.96","1,176.00","688.00","9.04","48.08"
"APLAPOLLO","2,093.00","2,110.90","2,081.00","2,083.30","2,098.90","-","15.6","0.75","133331","28.01","2,301.40","1,578.00","16.04","29.52"
"UPL","566.00","568.70","561.50","563.00","567.10","-","4.1","0.73","160435","9.05","812.20","558.05","-8.69","-17.66"
"UNOMINDA","1,246.00","1,259.20","1,235.90","1,240.00","1,249.00","-","9","0.73","89161","11.17","1,382.00","994.00","7.38","7.84"
